typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","M","20190101","2019","1","201901","251","FRA","France","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1482","false","8","kg","1482","false","1482","false","0","false","28719.121","0","28719.121","0","false","true",
"C","M","20190201","2019","2","201902","251","FRA","France","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2573","false","8","kg","2573","false","2573","false","0","false","30060.115","0","30060.115","0","false","true",
"C","M","20190301","2019","3","201903","251","FRA","France","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","9286","false","8","kg","9286","false","9286","false","0","false","37000.241","0","37000.241","0","false","true",
"C","M","20190301","2019","3","201903","258","PYF","French Polynesia","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","101","false","8","kg","101","false","101","false","0","false","894.64","0","894.64","0","false","true",
"C","M","20190301","2019","3","201903","384","CIV","Côte d'Ivoire","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","56","false","8","kg","56","false","56","false","0","false","54.413","0","54.413","0","false","true",
"C","M","20190401","2019","4","201904","251","FRA","France","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1901","false","8","kg","1901","false","1901","false","0","false","33452.095","0","33452.095","0","false","true",
"C","M","20190401","2019","4","201904","258","PYF","French Polynesia","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","225","false","8","kg","225","false","225","false","0","false","1870.396","0","1870.396","0","false","true",
"C","M","20190501","2019","5","201905","251","FRA","France","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1925","false","8","kg","1925","false","1925","false","0","false","33176.849","0","33176.849","0","false","true",
"C","M","20190501","2019","5","201905","384","CIV","Côte d'Ivoire","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","115","false","8","kg","115","false","115","false","0","false","124.502","0","124.502","0","false","true",
"C","M","20190601","2019","6","201906","251","FRA","France","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1566","false","8","kg","1566","false","1566","false","0","false","30051.737","0","30051.737","0","false","true",
"C","M","20190601","2019","6","201906","344","HKG","China, Hong Kong SAR","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","493","false","8","kg","493","false","493","false","0","false","4096.473","0","4096.473","0","false","true",
"C","M","20190701","2019","7","201907","251","FRA","France","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1629","false","8","kg","1629","false","1629","false","0","false","31440.66","0","31440.66","0","false","true",
"C","M","20190801","2019","8","201908","251","FRA","France","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1217","false","8","kg","1217","false","1217","false","0","false","23446.304","0","23446.304","0","false","true",
"C","M","20190901","2019","9","201909","251","FRA","France","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1212","false","8","kg","1212","false","1212","false","0","false","23289.754","0","23289.754","0","false","true",
"C","M","20190901","2019","9","201909","276","DEU","Germany","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2","false","8","kg","2","false","2","false","0","false","2.201","0","2.201","0","false","true",
"C","M","20190901","2019","9","201909","528","NLD","Netherlands","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","604","false","8","kg","604","false","604","false","0","false","1430.507","0","1430.507","0","false","true",
"C","M","20191001","2019","10","201910","251","FRA","France","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1392","false","8","kg","1392","false","1392","false","0","false","26600.22","0","26600.22","0","false","true",
"C","M","20191101","2019","11","201911","251","FRA","France","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1050","false","8","kg","1050","false","1050","false","0","false","19832.035","0","19832.035","0","false","true",
"C","M","20191201","2019","12","201912","251","FRA","France","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1223","false","8","kg","1223","false","1223","false","0","false","23710.546","0","23710.546","0","false","true",
"C","M","20191201","2019","12","201912","344","HKG","China, Hong Kong SAR","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","7770","false","8","kg","7770","false","7770","false","0","false","33950.692","0","33950.692","0","false","true",
